,reads,bases,bin
0,223329.0,1149078126.0,0
1,168324.0,1364785914.0,1
2,156071.0,1449709379.0,2
3,157716.0,1417814949.0,3
4,147620.0,1373305714.0,4
5,142592.0,1365888363.0,5
6,128585.0,1186245039.0,6
7,112401.0,1078524499.0,7
8,122792.0,1200599166.0,8
9,114268.0,1018397796.0,9
10,110209.0,970462829.0,10
11,83839.0,825535876.0,11
12,93287.0,858370286.0,12
13,94733.0,824266583.0,13
14,90259.0,879202754.0,14
15,110361.0,963896639.0,15
16,94566.0,856376776.0,16
17,93235.0,799434134.0,17
18,71972.0,560204912.0,18
19,77984.0,707499855.0,19
20,65004.0,535050818.0,20
21,59761.0,459278022.0,21
22,,,22
23,195550.0,577703734.0,23
24,273755.0,1459599072.0,24
25,275908.0,1558946267.0,25
26,242445.0,1521234092.0,26
27,216700.0,1483469627.0,27
28,207359.0,1301861878.0,28
29,189979.0,1235961132.0,29
30,173964.0,1214121109.0,30
31,164964.0,1077375508.0,31
32,150188.0,989138311.0,32
33,136813.0,970674150.0,33
34,130724.0,783178892.0,34
35,118919.0,807040057.0,35
36,102382.0,704710150.0,36
37,97393.0,585176834.0,37
38,92704.0,598377785.0,38
39,85555.0,566114595.0,39
40,72466.0,440083482.0,40
41,64576.0,407470072.0,41
42,53158.0,330269912.0,42
43,49203.0,298239457.0,43
44,42657.0,266916161.0,44
45,35743.0,203571910.0,45
46,25871.0,140417266.0,46
47,,,47
48,,,48
49,151543.0,374564922.0,49
50,181240.0,777405545.0,50
51,163715.0,831548590.0,51
52,149588.0,751722172.0,52
53,128103.0,732222491.0,53
54,112280.0,635656971.0,54
55,88931.0,483331366.0,55
56,77326.0,440789566.0,56
57,59873.0,315184186.0,57
58,71839.0,348875811.0,58
59,93111.0,502625208.0,59
60,52390.0,312191639.0,60
61,21600.0,126745620.0,61
62,13964.0,69243389.0,62
63,10941.0,52882911.0,63
64,9168.0,36506717.0,64
65,4427.0,12312340.0,65
66,6178.0,23972993.0,66
67,5843.0,24006026.0,67
68,1519.0,2930858.0,68
69,7109.0,22837232.0,69
70,759.0,1454842.0,70
